filename,date_str,date_only,time_only,hour,file_date_str,file_path,エントランス_visitors,エントランス_likes,メインロビー_visitors,メインロビー_likes,研究成果・技術内容_visitors,研究成果・技術内容_likes,CSAP_visitors,CSAP_likes,地域貢献・展開_visitors,地域貢献・展開_likes,ものづくり教育_visitors,ものづくり教育_likes
IPTeCA_20251126_144534_JST.html,2025-11-26 14:45:34,2025-11-26,14:45:34,14,2025-12-08 01:03:59,html/IPTeCA_20251126_144534_JST.html,282,3,246,4,148,4,57,1,62,1,98,1
IPTeCA_20251126_180637_JST.html,2025-11-26 18:06:37,2025-11-26,18:06:37,18,2025-12-08 01:03:59,html/IPTeCA_20251126_180637_JST.html,282,3,246,4,148,4,57,1,62,1,98,1
IPTeCA_20251127_060454_JST.html,2025-11-27 06:04:54,2025-11-27,06:04:54,6,2025-12-08 01:03:59,html/IPTeCA_20251127_060454_JST.html,282,3,247,4,149,4,58,1,63,1,99,1
IPTeCA_20251127_130911_JST.html,2025-11-27 13:09:11,2025-11-27,13:09:11,13,2025-12-08 01:03:59,html/IPTeCA_20251127_130911_JST.html,282,3,248,4,149,4,59,1,64,1,99,1
IPTeCA_20251127_180611_JST.html,2025-11-27 18:06:11,2025-11-27,18:06:11,18,2025-12-08 01:03:59,html/IPTeCA_20251127_180611_JST.html,286,3,253,4,149,4,61,1,65,1,99,1
IPTeCA_20251128_000335_JST.html,2025-11-28 00:03:35,2025-11-28,00:03:35,0,2025-12-08 01:03:59,html/IPTeCA_20251128_000335_JST.html,292,3,258,4,150,4,62,1,66,1,100,1
IPTeCA_20251128_060504_JST.html,2025-11-28 06:05:04,2025-11-28,06:05:04,6,2025-12-08 01:03:59,html/IPTeCA_20251128_060504_JST.html,294,4,259,4,150,4,62,1,66,1,100,1
IPTeCA_20251128_130913_JST.html,2025-11-28 13:09:13,2025-11-28,13:09:13,13,2025-12-08 01:03:59,html/IPTeCA_20251128_130913_JST.html,295,4,260,4,151,4,63,1,67,1,101,1
IPTeCA_20251128_180617_JST.html,2025-11-28 18:06:17,2025-11-28,18:06:17,18,2025-12-08 01:03:59,html/IPTeCA_20251128_180617_JST.html,295,4,260,4,151,4,63,1,67,1,101,1
IPTeCA_20251129_000317_JST.html,2025-11-29 00:03:17,2025-11-29,00:03:17,0,2025-12-08 01:03:59,html/IPTeCA_20251129_000317_JST.html,296,4,262,4,151,4,63,1,67,1,102,1
IPTeCA_20251129_060521_JST.html,2025-11-29 06:05:21,2025-11-29,06:05:21,6,2025-12-08 01:03:59,html/IPTeCA_20251129_060521_JST.html,297,4,262,4,151,4,63,1,67,1,102,1
IPTeCA_20251129_130817_JST.html,2025-11-29 13:08:17,2025-11-29,13:08:17,13,2025-12-08 01:03:59,html/IPTeCA_20251129_130817_JST.html,297,4,262,4,151,4,63,1,67,1,102,1
IPTeCA_20251129_180607_JST.html,2025-11-29 18:06:07,2025-11-29,18:06:07,18,2025-12-08 01:03:59,html/IPTeCA_20251129_180607_JST.html,297,4,262,4,151,4,63,1,67,1,102,1
IPTeCA_20251130_000301_JST.html,2025-11-30 00:03:01,2025-11-30,00:03:01,0,2025-12-08 01:03:59,html/IPTeCA_20251130_000301_JST.html,308,4,278,5,158,5,63,2,67,2,102,2
IPTeCA_20251130_060452_JST.html,2025-11-30 06:04:52,2025-11-30,06:04:52,6,2025-12-08 01:03:59,html/IPTeCA_20251130_060452_JST.html,308,4,278,5,160,5,65,2,68,2,103,2
IPTeCA_20251130_131749_JST.html,2025-11-30 13:17:49,2025-11-30,13:17:49,13,2025-12-08 01:03:59,html/IPTeCA_20251130_131749_JST.html,308,4,278,5,160,5,65,2,68,2,103,2
IPTeCA_20251130_180543_JST.html,2025-11-30 18:05:43,2025-11-30,18:05:43,18,2025-12-08 01:03:59,html/IPTeCA_20251130_180543_JST.html,308,4,278,5,161,5,65,2,68,2,103,2
IPTeCA_20251201_000307_JST.html,2025-12-01 00:03:07,2025-12-01,00:03:07,0,2025-12-08 01:03:59,html/IPTeCA_20251201_000307_JST.html,309,4,278,5,161,5,65,2,68,2,103,2
IPTeCA_20251201_060452_JST.html,2025-12-01 06:04:52,2025-12-01,06:04:52,6,2025-12-08 01:03:59,html/IPTeCA_20251201_060452_JST.html,309,4,278,5,161,5,65,2,68,2,103,2
IPTeCA_20251201_132646_JST.html,2025-12-01 13:26:46,2025-12-01,13:26:46,13,2025-12-08 01:03:59,html/IPTeCA_20251201_132646_JST.html,311,4,283,5,163,5,67,2,71,2,105,2
IPTeCA_20251201_180856_JST.html,2025-12-01 18:08:56,2025-12-01,18:08:56,18,2025-12-08 01:03:59,html/IPTeCA_20251201_180856_JST.html,311,4,283,5,163,5,68,2,72,2,105,2
IPTeCA_20251202_000334_JST.html,2025-12-02 00:03:34,2025-12-02,00:03:34,0,2025-12-08 01:03:59,html/IPTeCA_20251202_000334_JST.html,314,4,289,5,169,5,71,2,74,2,109,2
IPTeCA_20251202_060517_JST.html,2025-12-02 06:05:17,2025-12-02,06:05:17,6,2025-12-08 01:03:59,html/IPTeCA_20251202_060517_JST.html,314,4,290,5,169,5,72,2,75,2,109,2
IPTeCA_20251202_131357_JST.html,2025-12-02 13:13:57,2025-12-02,13:13:57,13,2025-12-08 01:03:59,html/IPTeCA_20251202_131357_JST.html,314,4,290,5,169,5,72,2,75,2,109,2
IPTeCA_20251202_180830_JST.html,2025-12-02 18:08:30,2025-12-02,18:08:30,18,2025-12-08 01:03:59,html/IPTeCA_20251202_180830_JST.html,318,4,292,5,176,5,75,2,80,2,115,2
